"","lykke","utdanning","skala10"
"1094",8,5,4
"1095",8,5,9
"1096",10,3,NA
"1097",9,5,2
"1098",10,10,NA
"1099",9,9,9
"1100",3,10,6
"1101",7,6,NA
"1102",10,3,2
"1103",10,10,1
"1104",8,10,5
"1105",6,5,9
"1106",9,9,2
"1107",8,13,2
"1108",10,4,8
"1109",9,6,NA
"1110",6,11,5
"1111",8,8,NA
"1112",10,6,9
"1113",10,6,6
"1114",5,5,9
"1115",8,5,NA
"1116",7,9,1
"1117",7,6,10
"1118",7,8,10
"1119",8,6,10
"1120",6,12,2
"1121",8,5,10
"1122",10,6,10
"1123",8,9,7
"1124",8,3,NA
"1125",8,4,9
"1126",9,6,9
"1127",6,6,9
"1128",8,8,10
"1129",8,3,10
"1130",9,4,9
"1131",7,3,NA
"1132",8,5,10
"1133",7,2,10
"1134",7,4,10
"1135",10,10,9
"1136",10,6,10
"1137",9,6,10
"1138",8,13,4
"1139",9,5,9
"1140",8,12,3
"1141",8,2,NA
"1142",7,6,10
"1143",8,12,4
"1144",8,10,4
"1145",7,11,8
"1146",9,3,10
"1147",9,10,6
"1148",6,6,5
"1149",10,3,10
"1150",10,6,9
"1151",3,3,10
"1152",6,10,NA
"1153",7,3,10
"1154",7,3,10
"1155",3,6,10
"1156",8,8,4
"1157",5,6,10
"1158",8,6,9
"1159",10,13,4
"1160",9,9,1
"1161",8,12,8
"1162",9,10,NA
"1163",7,9,6
"1164",7,11,4
"1165",8,10,9
"1166",9,10,1
"1167",4,11,4
"1168",6,6,10
"1169",7,12,3
"1170",8,13,4
"1171",7,10,4
"1172",8,9,4
"1173",10,6,9
"1174",2,10,8
"1175",10,3,9
"1176",9,9,5
"1177",8,12,3
"1178",10,12,4
"1179",8,9,9
"1180",9,8,9
"1181",8,13,1
"1182",8,9,10
"1183",9,10,4
"1184",9,9,2
"1185",8,3,NA
"1186",7,3,NA
"1187",8,10,5
"1188",3,4,9
"1189",8,5,8
"1190",6,13,4
"1191",10,8,6
"1192",9,9,5
"1193",9,13,5
"1194",10,5,9
"1195",9,13,10
"1196",7,5,10
"1197",9,12,1
"1198",9,10,5
"1199",9,13,NA
"1200",7,11,1
"1201",7,5,4
"1202",6,5,4
"1203",9,12,1
"1204",9,5,NA
"1205",7,9,6
"1206",9,9,5
"1207",8,10,5
"1208",10,6,10
"1209",10,9,4
"1210",7,11,6
"1211",10,13,1
"1212",8,6,10
"1213",9,6,9
"1214",5,3,5
"1215",8,5,9
"1216",7,6,10
"1217",7,9,5
"1218",5,6,9
"1219",9,3,10
"1220",10,3,8
"1221",9,6,9
"1222",7,10,3
"1223",9,10,5
"1224",9,10,3
"1225",4,3,NA
"1226",9,6,9
"1227",7,5,10
"1228",8,8,2
"1229",7,10,9
"1230",6,11,4
"1231",9,6,10
"1232",9,13,3
"1233",10,13,4
"1234",9,10,6
"1235",7,12,5
"1236",10,6,9
"1237",7,11,6
"1238",8,3,9
"1239",8,3,1
"1240",8,3,9
"1241",8,3,10
"1242",9,3,3
"1243",8,6,10
"1244",6,6,9
"1245",8,6,6
"1246",10,10,6
"1247",10,6,10
"1248",8,8,5
"1249",7,5,10
"1250",10,6,9
"1251",8,6,10
"1252",7,9,10
"1253",6,8,10
"1254",9,10,2
"1255",8,6,10
"1256",8,3,9
